# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_efld           14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.637361934146e+13       1.013149539380e-25       5.366018740460e-09       1.609616189208e+22       1.152959485625e+04       1.334851421551e-10       9.958528372748e+17       3.098119486227e-09       1.531452550107e+44       1.579631814852e+33       8.630904042839e+33       2.985121549152e-08       4.962998441071e+37       1.059411230052e+44       2.590864276561e+44       2.590864276561e+44       8.636213096828e+43      -6.437608020245e+52       3.443045111077e-05       6.826502897336e+00 
       8.577320689306e+13       1.027383277144e-25       5.404217517935e-09       1.587315987647e+22       1.152959485625e+04       1.344195381504e-10       9.889303249981e+17       3.119806322442e-09       1.489311911948e+44       1.546918596687e+33       8.452163247510e+33       2.985121549152e-08       4.850057483560e+37       1.030259647586e+44       2.519572044640e+44       2.519572044640e+44       8.398572350121e+43      -6.216947169305e+52       3.606999639361e-05       6.516207309510e+00 
       8.517696811611e+13       1.041816984682e-25       5.440597306006e-09       1.565324741102e+22       1.152959485625e+04       1.353604749177e-10       9.820559334623e+17       3.141644966500e-09       1.448330848329e+44       1.514882849457e+33       8.277124065795e+33       2.985121549152e-08       4.739686677950e+37       1.001910222712e+44       2.450241545107e+44       2.450241545107e+44       8.167470710769e+43      -6.003849874747e+52       3.770954167568e-05       6.232893946702e+00 
       8.458487399798e+13       1.056453471371e-25       5.478796083480e-09       1.543638169199e+22       1.152959485625e+04       1.363079982424e-10       9.752293281635e+17       3.163636481056e-09       1.408477451494e+44       1.483510543149e+33       8.105709839520e+33       2.985121549152e-08       4.631827536331e+37       9.743408826367e+43       2.382818797409e+44       2.382818797409e+44       7.942728243617e+43      -5.798056881768e+52       3.934908695698e-05       5.973190030787e+00 
       8.399689572775e+13       1.071295586054e-25       5.518813850358e-09       1.522252050866e+22       1.152959485625e+04       1.372621542303e-10       9.684501769234e+17       3.185781936204e-09       1.369720691688e+44       1.452787938304e+33       7.937845498051e+33       2.985121549152e-08       4.526422901775e+37       9.475301619418e+43       2.317251306366e+44       2.317251306366e+44       7.724169964742e+43      -5.599317822003e+52       4.098863223751e-05       5.734262428135e+00 
       8.341300469475e+13       1.086346217599e-25       5.557012627833e-09       1.501162223511e+22       1.152959485625e+04       1.382229893101e-10       9.617181498727e+17       3.208082409527e-09       1.332030392996e+44       1.422701579998e+33       7.773457525425e+33       2.985121549152e-08       4.423416918053e+37       9.214571858669e+43       2.253488021296e+44       2.253488021296e+44       7.511625705217e+43      -5.407390908919e+52       4.262817751725e-05       5.513713871832e+00 
       8.283317248720e+13       1.101608295460e-25       5.595211405307e-09       1.480364582212e+22       1.152959485625e+04       1.391905502355e-10       9.550329194351e+17       3.230538986153e-09       1.295377209844e+44       1.393238291950e+33       7.612473928149e+33       2.985121549152e-08       4.322755000035e+37       8.961016540578e+43       2.191479296267e+44       2.191479296267e+44       7.304929978614e+43      -5.222042643664e+52       4.426772279621e-05       5.309502245618e+00 
       8.225737089082e+13       1.117084790245e-25       5.635229172185e-09       1.459855078918e+22       1.152959485625e+04       1.401648840874e-10       9.483941603113e+17       3.253152758804e-09       1.259732604155e+44       1.364385170753e+33       7.454824203671e+33       2.985121549152e-08       4.224383804760e+37       8.714438247608e+43       2.131176851443e+44       2.131176851443e+44       7.103921852159e+43      -5.043047530987e+52       4.590726807438e-05       5.119877164125e+00 
       8.168557188747e+13       1.132778714298e-25       5.673427949660e-09       1.439629721662e+22       1.152959485625e+04       1.411460382763e-10       9.418015494634e+17       3.275924827853e-09       1.225068823129e+44       1.336129580221e+33       7.300439309505e+33       2.985121549152e-08       4.128251203173e+37       8.474644994514e+43       2.072533735492e+44       2.072533735492e+44       6.908444821428e+43      -4.870187804904e+52       4.754681335176e-05       4.943329674451e+00 
       8.111774765376e+13       1.148693122282e-25       5.713445716538e-09       1.419684573782e+22       1.152959485625e+04       1.421340605444e-10       9.352547660991e+17       3.298856301375e-09       1.191358877633e+44       1.308459145855e+33       7.149251632991e+33       2.985121549152e-08       4.034306252500e+37       8.241450078868e+43       2.015504289035e+44       2.015504289035e+44       6.718346688495e+43      -4.703253163756e+52       4.918635862834e-05       4.778552017415e+00 
