# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ULAfld         14:(.)w_ULAfld           15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.937928709620e+04       1.875605573649e-06       2.269283564516e+01       8.992931859222e+02       1.265509944014e+04       6.529882337310e-01       2.452594603809e+08       1.299264798206e+01       3.881681495156e+05       1.784403786049e+04       9.749751623302e+04       2.985121549152e-08       3.669588087110e+04      -7.226330831233e-03       2.685226497658e+05       8.087282342460e+05       8.087282342460e+05       2.186317565184e+05      -4.062943327375e+04       8.970724491623e-04       2.278580748157e-01 
       1.924452387677e+04       1.901082106456e-06       2.284368968453e+01       8.874165302274e+02       1.265494858610e+04       6.575528246014e-01       2.435511151732e+08       1.307827493294e+01       3.774835420216e+05       1.747437813067e+04       9.547774325391e+04       2.985121549152e-08       3.594106401058e+04      -7.077688634297e-03       2.611313707040e+05       7.875080981208e+05       7.875080981208e+05       2.126172579149e+05      -3.926228482220e+04       8.985029822952e-04       2.288402667507e-01 
       1.911069750394e+04       1.926899602155e-06       2.299549964360e+01       8.756999450823e+02       1.265479677615e+04       6.621492817964e-01       2.418546479596e+08       1.316443439059e+01       3.670930171261e+05       1.711237566549e+04       9.349980857898e+04       2.985121549152e-08       3.520166361188e+04      -6.932082321794e-03       2.539435288347e+05       7.668503938171e+05       7.668503938171e+05       2.067681611569e+05      -3.794127787125e+04       8.999419792493e-04       2.298263029863e-01 
       1.897780146555e+04       1.953062527802e-06       2.314827101613e+01       8.641412458249e+02       1.265464400477e+04       6.667778272377e-01       2.401699761838e+08       1.325112927808e+01       3.569884809517e+05       1.675787186039e+04       9.156284561339e+04       2.985121549152e-08       3.447736924489e+04      -6.789450762316e-03       2.469535250655e+05       7.467400927359e+05       7.467400927359e+05       2.010799196048e+05      -3.666485110997e+04       9.013894975741e-04       2.308161808519e-01 
       1.884582929470e+04       1.979575407221e-06       2.330200932095e+01       8.527382778028e+02       1.265449026647e+04       6.714386843853e-01       2.384970178636e+08       1.333836252991e+01       3.471620623749e+05       1.641071139582e+04       8.966600571116e+04       2.985121549152e-08       3.376787655016e+04      -6.649734019925e-03       2.401559143979e+05       7.271625704300e+05       7.271625704300e+05       1.955481115268e+05      -3.543149617399e+04       9.028455951874e-04       2.318098974656e-01 
       1.871477456946e+04       2.006442821700e-06       2.345672010208e+01       8.414889159595e+02       1.265433555569e+04       6.761320782489e-01       2.368356915866e+08       1.342613709204e+01       3.376061068955e+05       1.607074216917e+04       8.780845780339e+04       2.985121549152e-08       3.307288712757e+04      -6.512873332223e-03       2.335454016870e+05       7.081035956827e+05       7.081035956827e+05       1.901684366695e+05      -3.423975584669e+04       9.043103303770e-04       2.328074497335e-01 
       1.858463091254e+04       2.033669410687e-06       2.361240892876e+01       8.303910644276e+02       1.265417986686e+04       6.808582353974e-01       2.351859165064e+08       1.351445592184e+01       3.283131706752e+05       1.573781522820e+04       8.598938803424e+04       2.985121549152e-08       3.239210842672e+04      -6.378811088767e-03       2.271168375168e+05       6.895493198812e+05       6.895493198812e+05       1.849367129235e+05      -3.308822232166e+04       9.057837618028e-04       2.338088343477e-01 
       1.845539199098e+04       2.061259872500e-06       2.376908139545e+01       8.194426561264e+02       1.265402319439e+04       6.856173839708e-01       2.335476123387e+08       1.360332198812e+01       3.192760147399e+05       1.541178470575e+04       8.420799940443e+04       2.985121549152e-08       3.172525363905e+04      -6.247490809823e-03       2.208652141904e+05       6.714862666796e+05       6.714862666796e+05       1.798488730795e+05      -3.197553552423e+04       9.072659484994e-04       2.348140477852e-01 
       1.832705151584e+04       2.089218965041e-06       2.392674312196e+01       8.086416523659e+02       1.265386553267e+04       6.904097536901e-01       2.319206993572e+08       1.369273827109e+01       3.104875993422e+05       1.509250775587e+04       8.246351142210e+04       2.985121549152e-08       3.107204159163e+04      -6.118857125455e-03       2.147856618293e+05       6.539013219411e+05       6.539013219411e+05       1.749009616740e+05      -3.090038149007e+04       9.087569498778e-04       2.358230863064e-01 
       1.819960324190e+04       2.117551506518e-06       2.408539975340e+01       7.979860424556e+02       1.265370687604e+04       6.952355758686e-01       2.303050983900e+08       1.378270776236e+01       3.019410784779e+05       1.477984449122e+04       8.075515976095e+04       2.985121549152e-08       3.043219664269e+04      -5.992855754946e-03       2.088734445812e+05       6.367817239540e+05       6.367817239540e+05       1.700891319216e+05      -2.986149079908e+04       9.102568257278e-04       2.368359459540e-01 
