# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  153       5.884020197657e-10       1.417844140021e-13      -6.071048326118e-12       0.000000000000e+00 
  154       5.926185075099e-10       1.409427378620e-13      -6.065508567444e-12       0.000000000000e+00 
  155       5.968062606572e-10       1.400482150107e-13      -6.056670693998e-12       0.000000000000e+00 
  156       6.009638693951e-10       1.391025005468e-13      -6.044499704943e-12       0.000000000000e+00 
  157       6.050898791648e-10       1.381073615634e-13      -6.028962293331e-12       0.000000000000e+00 
  158       6.091827898574e-10       1.370646788904e-13      -6.010026885784e-12       0.000000000000e+00 
  159       6.132410550098e-10       1.359764488384e-13      -5.987663682175e-12       0.000000000000e+00 
  160       6.172630810004e-10       1.348447849404e-13      -5.961844695312e-12       0.000000000000e+00 
  161       6.212473378792e-10       1.336718713143e-13      -5.932543676389e-12       0.000000000000e+00 
  162       6.251927045583e-10       1.324598144537e-13      -5.899735800620e-12       0.000000000000e+00 
  163       6.290981527527e-10       1.312107816002e-13      -5.863398029515e-12       0.000000000000e+00 
  164       6.329626378041e-10       1.299270494540e-13      -5.823509261454e-12       0.000000000000e+00 
  165       6.367850983906e-10       1.286110056943e-13      -5.780050370842e-12       0.000000000000e+00 
  166       6.405644562361e-10       1.272651504996e-13      -5.733004247267e-12       0.000000000000e+00 
  167       6.442996158197e-10       1.258920980680e-13      -5.682355834656e-12       0.000000000000e+00 
  168       6.479894640858e-10       1.244945781371e-13      -5.628092170431e-12       0.000000000000e+00 
  169       6.516328701533e-10       1.230754375051e-13      -5.570202424665e-12       0.000000000000e+00 
  170       6.552286850251e-10       1.216376415503e-13      -5.508677939239e-12       0.000000000000e+00 
  171       6.587757412980e-10       1.201842757517e-13      -5.443512267000e-12       0.000000000000e+00 
  172       6.622728528719e-10       1.187185472095e-13      -5.374701210914e-12       0.000000000000e+00 
  173       6.657188146597e-10       1.172437861650e-13      -5.302242863224e-12       0.000000000000e+00 
  174       6.691124022966e-10       1.157634475212e-13      -5.226137644608e-12       0.000000000000e+00 
  175       6.724523718501e-10       1.142811123629e-13      -5.146388343333e-12       0.000000000000e+00 
  176       6.757374595288e-10       1.128004894772e-13      -5.063000154412e-12       0.000000000000e+00 
  177       6.789663813929e-10       1.113254168735e-13      -4.975980718762e-12       0.000000000000e+00 
  178       6.821378330631e-10       1.098598633040e-13      -4.885340162358e-12       0.000000000000e+00 
  179       6.852504894304e-10       1.084079297840e-13      -4.791091135390e-12       0.000000000000e+00 
  180       6.883030924298e-10       1.069737048930e-13      -4.693247506373e-12       0.000000000000e+00 
  181       6.912947227702e-10       1.055608146410e-13      -4.591820246589e-12       0.000000000000e+00 
  182       6.942245492962e-10       1.041728396578e-13      -4.486821292941e-12       0.000000000000e+00 
  183       6.970917428988e-10       1.028134591721e-13      -4.378264897556e-12       0.000000000000e+00 
  184       6.998954765495e-10       1.014864519923e-13      -4.266167661986e-12       0.000000000000e+00 
  185       7.026349253342e-10       1.001956974893e-13      -4.150548571416e-12       0.000000000000e+00 
  186       7.053092664869e-10       9.894517657728e-14      -4.031429028862e-12       0.000000000000e+00 
  187       7.079176794238e-10       9.773897269601e-14      -3.908832889375e-12       0.000000000000e+00 
  188       7.104593457774e-10       9.658127279237e-14      -3.782786494242e-12       0.000000000000e+00 
  189       7.129334494301e-10       9.547636830212e-14      -3.653318705189e-12       0.000000000000e+00 
  190       7.153391765483e-10       9.442865613163e-14      -3.520460938584e-12       0.000000000000e+00 
  191       7.176757156165e-10       9.344263963960e-14      -3.384247199637e-12       0.000000000000e+00 
  192       7.199422574708e-10       9.252292961882e-14      -3.244714116606e-12       0.000000000000e+00 
  193       7.221379953333e-10       9.167424527787e-14      -3.101900974994e-12       0.000000000000e+00 
  194       7.242621248458e-10       9.090141522287e-14      -2.955849751757e-12       0.000000000000e+00 
  195       7.263138441036e-10       9.020937843922e-14      -2.806605149501e-12       0.000000000000e+00 
