# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.317271419890e-02       2.481446581866e+04 
       2.330615890180e-02       2.475571415324e+04 
       2.343971398792e-02       2.469630754120e+04 
       2.357338175615e-02       2.463666045267e+04 
       2.370716456100e-02       2.457535563592e+04 
       2.384106481399e-02       2.451385657716e+04 
       2.397508498508e-02       2.445174763194e+04 
       2.410922760418e-02       2.438908720610e+04 
       2.424349526269e-02       2.432569140795e+04 
       2.437789061509e-02       2.426176035524e+04 
       2.451241638055e-02       2.419729542481e+04 
       2.464707534467e-02       2.413237481632e+04 
       2.478187036123e-02       2.406642187091e+04 
       2.491680435394e-02       2.400028355148e+04 
       2.505188031836e-02       2.393355195522e+04 
       2.518710132382e-02       2.386635442396e+04 
       2.532247051540e-02       2.379875510086e+04 
       2.545799111597e-02       2.373039493075e+04 
       2.559366642839e-02       2.366206553691e+04 
       2.572949983761e-02       2.359276339719e+04 
       2.586549481303e-02       2.352328148759e+04 
       2.600165491080e-02       2.345327226607e+04 
       2.613798377629e-02       2.338231578367e+04 
       2.627448514657e-02       2.331169722858e+04 
       2.641116285305e-02       2.324036703836e+04 
       2.654802082415e-02       2.316876925421e+04 
       2.668506308812e-02       2.309667250067e+04 
       2.682229377588e-02       2.302416165476e+04 
       2.695971712407e-02       2.295129052775e+04 
       2.709733747813e-02       2.287830519735e+04 
       2.723515929550e-02       2.280481694840e+04 
       2.737318714896e-02       2.273089800424e+04 
       2.751142573009e-02       2.265696023673e+04 
       2.764987985283e-02       2.258245650604e+04 
       2.778855445722e-02       2.250793513205e+04 
       2.792745461322e-02       2.243294778886e+04 
       2.806658552475e-02       2.235773124916e+04 
       2.820595253378e-02       2.228220717975e+04 
       2.834556112471e-02       2.220632762593e+04 
       2.848541692877e-02       2.213041842840e+04 
       2.862552572872e-02       2.205404448807e+04 
       2.876589346368e-02       2.197770601512e+04 
       2.890652623411e-02       2.190093038696e+04 
       2.904743030707e-02       2.182415110227e+04 
       2.918861212164e-02       2.174708259407e+04 
       2.933007829456e-02       2.167000522251e+04 
       2.947183562612e-02       2.159236503491e+04 
       2.961389110626e-02       2.151477595972e+04 
       2.975625192100e-02       2.143703974975e+04 
       2.989892545902e-02       2.135926689703e+04 
       3.004191931860e-02       2.128111382795e+04 
       3.018524131485e-02       2.120294039051e+04 
       3.032889948722e-02       2.112462703887e+04 
       3.047290210736e-02       2.104617810220e+04 
       3.061725768729e-02       2.096781945706e+04 
       3.076197498798e-02       2.088895589976e+04 
       3.090706302827e-02       2.081019212362e+04 
       3.105253109416e-02       2.073136271455e+04 
       3.119838874865e-02       2.065253220148e+04 
       3.134464584183e-02       2.057346003380e+04 
       3.149131252163e-02       2.049438194355e+04 
       3.163839924495e-02       2.041521961570e+04 
       3.178591678931e-02       2.033584766238e+04 
       3.193387626514e-02       2.025666603920e+04 
       3.208228912856e-02       2.017736134931e+04 
       3.223116719483e-02       2.009780698209e+04 
       3.238052265243e-02       2.001851461421e+04 
       3.253036807786e-02       1.993900183648e+04 
       3.268071645114e-02       1.985935239891e+04 
       3.283158117211e-02       1.977997697794e+04 
       3.298297607755e-02       1.970047698230e+04 
       3.313491545916e-02       1.962081618239e+04 
       3.328741408251e-02       1.954118895946e+04 
       3.344048720691e-02       1.946165063779e+04 
       3.359415060641e-02       1.938204647982e+04 
       3.374842059184e-02       1.930243064616e+04 
       3.390331403411e-02       1.922297904203e+04 
       3.405884838871e-02       1.914333427864e+04 
       3.421504172162e-02       1.906372977897e+04 
       3.437191273660e-02       1.898417216291e+04 
       3.452948080409e-02       1.890456529810e+04 
       3.468776599166e-02       1.882503678535e+04 
       3.484678909628e-02       1.874561153094e+04 
       3.500657167847e-02       1.866604616194e+04 
       3.516713609840e-02       1.858658590611e+04 
       3.532850555420e-02       1.850719065602e+04 
       3.549070412254e-02       1.842773267225e+04 
       3.565375680169e-02       1.834836719827e+04 
       3.581768955726e-02       1.826900844797e+04 
       3.598252937075e-02       1.818973983142e+04 
       3.614830429120e-02       1.811045869781e+04 
       3.631504349013e-02       1.803127827606e+04 
       3.648277732005e-02       1.795201157921e+04 
       3.665153737680e-02       1.787289859758e+04 
       3.682135656602e-02       1.779369154831e+04 
       3.699226917412e-02       1.771470329628e+04 
       3.716431094406e-02       1.763556791179e+04 
       3.733751915639e-02       1.755665137562e+04 
       3.751193271595e-02       1.747762986102e+04 
       3.768759224472e-02       1.739864621428e+04 
