# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.238052265243e-02       1.964316145901e+04 
       3.253036807786e-02       1.956423203217e+04 
       3.268071645114e-02       1.948518408778e+04 
       3.283158117211e-02       1.940641930974e+04 
       3.298297607755e-02       1.932754778101e+04 
       3.313491545916e-02       1.924853407821e+04 
       3.328741408251e-02       1.916956828910e+04 
       3.344048720691e-02       1.909070447395e+04 
       3.359415060641e-02       1.901179130561e+04 
       3.374842059184e-02       1.893288172384e+04 
       3.390331403411e-02       1.885414765483e+04 
       3.405884838871e-02       1.877523972114e+04 
       3.421504172162e-02       1.869638608003e+04 
       3.437191273660e-02       1.861759317001e+04 
       3.452948080409e-02       1.853876702396e+04 
       3.468776599166e-02       1.846003230970e+04 
       3.484678909628e-02       1.838141332186e+04 
       3.500657167847e-02       1.830267226847e+04 
       3.516713609840e-02       1.822404870876e+04 
       3.532850555420e-02       1.814550342673e+04 
       3.549070412254e-02       1.806691163760e+04 
       3.565375680169e-02       1.798842494621e+04 
       3.581768955726e-02       1.790995955049e+04 
       3.598252937075e-02       1.783159687653e+04 
       3.614830429120e-02       1.775323667576e+04 
       3.631504349013e-02       1.767498947593e+04 
       3.648277732005e-02       1.759667272621e+04 
       3.665153737680e-02       1.751852067686e+04 
       3.682135656602e-02       1.744029146741e+04 
       3.699226917412e-02       1.736229042339e+04 
       3.716431094406e-02       1.728416043433e+04 
       3.733751915639e-02       1.720625860955e+04 
       3.751193271595e-02       1.712826898219e+04 
       3.768759224472e-02       1.705033092799e+04 
       3.786454018137e-02       1.697241485737e+04 
       3.804282088805e-02       1.689465329181e+04 
       3.822248076511e-02       1.681687102264e+04 
       3.840356837442e-02       1.673909850465e+04 
       3.858613457205e-02       1.666149425957e+04 
       3.877023265129e-02       1.658382257404e+04 
       3.895591849676e-02       1.650618762854e+04 
       3.914325075093e-02       1.642858232341e+04 
       3.933229099402e-02       1.635094697143e+04 
       3.952310393865e-02       1.627345159715e+04 
       3.971575764086e-02       1.619587434200e+04 
       3.991032372881e-02       1.611837260992e+04 
       4.010687765142e-02       1.604092223948e+04 
       4.030549894855e-02       1.596341196023e+04 
       4.050627154541e-02       1.588579823066e+04 
       4.070928407353e-02       1.580829416453e+04 
       4.091463022134e-02       1.573086339715e+04 
       4.112240911762e-02       1.565326388171e+04 
       4.133272575146e-02       1.557566243565e+04 
       4.154569143314e-02       1.549809314091e+04 
       4.176142430051e-02       1.542034335323e+04 
       4.198004987645e-02       1.534258054020e+04 
       4.220170168357e-02       1.526489795062e+04 
       4.242652192332e-02       1.518697157616e+04 
       4.265466222754e-02       1.510907481986e+04 
       4.288628449194e-02       1.503102752163e+04 
       4.312156180218e-02       1.495284314560e+04 
       4.336067946497e-02       1.487440742722e+04 
       4.360383615878e-02       1.479613431081e+04 
       4.385124522052e-02       1.471748003642e+04 
       4.410313608808e-02       1.463874285357e+04 
       4.435975592105e-02       1.455979941559e+04 
       4.462137142655e-02       1.448060102161e+04 
       4.488827092121e-02       1.440121438137e+04 
       4.516076666643e-02       1.432160388262e+04 
       4.543919752026e-02       1.424161966009e+04 
       4.572393195796e-02       1.416134828064e+04 
       4.601537152274e-02       1.408080102943e+04 
       4.631395478061e-02       1.399991084424e+04 
       4.662016186792e-02       1.391857796378e+04 
       4.693451973833e-02       1.383687558523e+04 
       4.725760823845e-02       1.375459430618e+04 
       4.759006716930e-02       1.367177961934e+04 
       4.793260452518e-02       1.358851572655e+04 
       4.828600614492e-02       1.350470914787e+04 
       4.865114706475e-02       1.341993508261e+04 
       4.902900493043e-02       1.333476638337e+04 
       4.942067591259e-02       1.324861761920e+04 
       4.982739367910e-02       1.316109723627e+04 
       5.025055211759e-02       1.307299194303e+04 
       5.069173267895e-02       1.298415519816e+04 
       5.115273743922e-02       1.289337355750e+04 
       5.163562926573e-02       1.280189764088e+04 
       5.214278083871e-02       1.270859170553e+04 
       5.267693473961e-02       1.261359577894e+04 
       5.324127738547e-02       1.251616907931e+04 
       5.383953027310e-02       1.241723459944e+04 
       5.447606277852e-02       1.231482738024e+04 
       5.515603156334e-02       1.221052855792e+04 
       5.588555227525e-02       1.210155057471e+04 
       5.667190925559e-02       1.198930872834e+04 
       5.752380746105e-02       1.187147195184e+04 
       5.845166594430e-02       1.174758557338e+04 
       5.946794059141e-02       1.161593593773e+04 
       6.058743937351e-02       1.147491203810e+04 
       6.182754674295e-02       1.132185481767e+04 
       6.320819351446e-02       1.115272771742e+04 
       6.475129000827e-02       1.096394869844e+04 
       6.647921333424e-02       1.074902949557e+04 
       6.841192418790e-02       1.050093328587e+04 
       7.056263881041e-02       1.021337635125e+04 
       7.293295005072e-02       9.879975825772e+03 
       7.550958766922e-02       9.498696381229e+03 
       7.826529561900e-02       9.072697296006e+03 
       8.116429134032e-02       8.612539777774e+03 
       8.416970063626e-02       8.134481651022e+03 
       8.724940127907e-02       7.657213197495e+03 
       9.037859295658e-02       7.198953837894e+03 
       9.353968144815e-02       6.775244834823e+03 
       9.672087747936e-02       6.397106596467e+03 
       9.991457038474e-02       6.070017641607e+03 
       1.031159620835e-01       5.795721761975e+03 
       1.063220720655e-01       5.570723681300e+03 
       1.095310656294e-01       5.389261341607e+03 
       1.127418195905e-01       5.243068710431e+03 
       1.159536485732e-01       5.122478741542e+03 
       1.191661351074e-01       5.017657510143e+03 
       1.223790251171e-01       4.919185955276e+03 
       1.255921639856e-01       4.818880691968e+03 
       1.288054575714e-01       4.710326631398e+03 
       1.320188484846e-01       4.589613986748e+03 
       1.352323016674e-01       4.455782748795e+03 
       1.384457956348e-01       4.309655413799e+03 
       1.416593171555e-01       4.154248323676e+03 
       1.448728580223e-01       3.994309461063e+03 
       1.480864130910e-01       3.834851615791e+03 
       1.512999790887e-01       3.680852703386e+03 
       1.545135538902e-01       3.536542806369e+03 
