# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.406912452966e-10       1.478777243468e-13      -5.910165385327e-12       8.837719896596e-16       4.151367406429e-12       7.202082204033e-13      -4.553445504047e-15 
  143       5.451330042836e-10       1.477119623262e-13      -5.937713746390e-12       8.971966991945e-16       4.069704754196e-12       7.091690204762e-13      -4.490695916330e-15 
  144       5.495586130953e-10       1.474826275123e-13      -5.962448556560e-12       9.107543714772e-16       3.989860593302e-12       6.983190016820e-13      -4.427387849856e-15 
  145       5.539669732560e-10       1.471902632622e-13      -5.984318847610e-12       9.244456082981e-16       3.911813652308e-12       6.876562129707e-13      -4.363498318304e-15 
  146       5.583570784554e-10       1.468355147430e-13      -6.003275234743e-12       9.382708763557e-16       3.835571568245e-12       6.771827851338e-13      -4.299072856090e-15 
  147       5.627278858824e-10       1.464191217737e-13      -6.019269642759e-12       9.522306207651e-16       3.761135705745e-12       6.669001104366e-13      -4.234157251658e-15 
  148       5.670783154239e-10       1.459419205655e-13      -6.032255345886e-12       9.663252645137e-16       3.688501000235e-12       6.568088233563e-13      -4.168797527838e-15 
  149       5.714072488645e-10       1.454048454631e-13      -6.042187007609e-12       9.805552079166e-16       3.617655801123e-12       6.469087813192e-13      -4.103039922203e-15 
  150       5.757135290859e-10       1.448089306858e-13      -6.049020720503e-12       9.949208280725e-16       3.548581714986e-12       6.371990454387e-13      -4.036930867428e-15 
  151       5.799959592665e-10       1.441553120685e-13      -6.052714046065e-12       1.009422478320e-15       3.481253448763e-12       6.276778612528e-13      -3.970516971652e-15 
